Laptop_Titulo,Laptop_Precio,Laptop_Url,CPU_Modelo,RAM_Capacidad,DiscoDuro_Capacidad,SistemaOperativo,Laptop_Marca,Laptop_TPantalla,Laptop_RPantalla,Laptop_Dimensiones,Laptop_Peso,Laptop_Material,Laptop_Color,Laptop_Bateria
Laptop Huawei Matebook D14 Intel Core i5 10Gen 8GB RAM 512GB SSD + Regalos,"S/ 2659.00
          ",https://www.linio.com.pe/p/laptop-huawei-matebook-d14-intel-core-i5-10-gen-8gb-ram-512gb-ssd-regalos-jpqnwj,Procesador 10th Generation Intel Core (i5-10210U processor),Memoria 8GB DDR4,Almacenamiento PCIe 512 GBSSD,Sistema operativo Windows 10 Home,Marca: Huawei,Tamao de pantalla: 14.,Resolucin: IPS 1920 x 1080,"Medidas: Ancho, alto y profundidad (322.5 x 214.8 x 15.9 mm)",Peso: 1.38Kg.,Material: Aleacin de aluminio,Color: Gris Espacial,Batera: 56 Wh
"LAPTOP HP 250 G8 CI7-1065G7, 8GB, 1TB HDD, VID MX330 FREEDOS 15.6"" 2P5M3LT ABM + MOCHILA HP PRELUDE.","S/ 3399.00
          ",https://www.linio.com.pe/p/laptop-hp-250-g8-ci7-1065g7-8gb-1tb-hdd-vid-mx330-freedos-156-2p5m3lt-abm-mochila-hp-prelude-jucg67,,,,,,,,,,,,
"Laptop 15-dw1085la 15.6 Pantalla, Procesador Core i3-10110U, 256GB SSD, RAM 4GB","S/ 1809.00
          ",https://www.linio.com.pe/p/laptop-15-dw1085la-156-pantalla-procesador-core-i3-10110u-256gb-ssd-ram-4gb-ldp7cw,ProcesadorIntel Core   i3-10110U,"Memoria ram:4GB DDR4 - 2666,Memoria cach4MB L3,Memoria expandiblesi, hasta 16GB,Memoria interna256GB SSD PCIe",,Sistema operativoWindows 10,Marca: HP,,Resolucin de pantalla1366 x 768,"Medidas del producto35,85 cm (ancho) x 24,2 cm (prof.) X 1,99 cm (alt.)","Peso del producto1,74 kg",,Colorgris pizarra,"BateraHasta 10 horas, segn condiciones de uso."
Combo HP Laptop 250 G8 Core i7 1TB HDD 8GB RAM 2GB MX330 15.6 + Mochila + Mouse,"S/ 3349.00
          ",https://www.linio.com.pe/p/combo-hp-laptop-250-g8-core-i7-1tb-hdd-8gb-ram-2gb-mx330-156-mochila-mouse-le9jlh,,,,,,,,,,,,
"LAPTOP HP 240 G7 14"" Intel Core I3-1005G1 Ram 4GB, HDD 1TB FREEDOS","S/ 2599.00
          ",https://www.linio.com.pe/p/laptop-hp-240-g7-14-intel-core-i3-1005g1-ram-4gb-hdd-1tb-freedos-jor4lf,Procesador Intel Core i3-1005G1,Memoria RAM 4GB,,,,,Resolucin de la pantalla WXGA (1366x768),,,,,
Laptop HP 15-EF1024LA 15.6 AMD Ryzen 5-4500U 8GB RAM 256GB SSD FreeDOS,"S/ 2499.00
          ",https://www.linio.com.pe/p/laptop-hp-15-ef1024la-156-amd-ryzen-5-4500u-8gb-ram-256gb-ssd-freedos-jp1qex,Procesador:	AMD Ryzen R5-4500U,Memoria:	8GB DDR4-2666,Almacenamiento:	256GB SSD PCIe NVMe,,,,,,"Peso:	1,69 kg",,Color:	Griz Pizarra,
"Laptop Hp 250 G8 Intel Core I7 1065G7 Ram 8GB Disco 1TB HDD Video 2GB 15.6"" Hd","S/ 3349.00
          ",https://www.linio.com.pe/p/laptop-hp-250-g8-intel-core-i7-1065g7-ram-8gb-disco-1tb-hdd-video-2gb-156-hd-qdlua1,"Procesador:Intel Core I7 1065G7 1.30GHz, hasta 3.90GHz Dcima Generacin",Memoria Ram: 8GB DDR4 Exp. 32GB,Almacenamiento: 1TB HDD,,,,,,,,Color: Negro,
Laptop HP 14-Cf2074la Intel Core I5 10210u RAM 8GB Disco 256GB SSD 14 HD,"S/ 2419.00
          ",https://www.linio.com.pe/p/laptop-hp-14-cf2074la-intel-core-i5-10210u-ram-8gb-disco-256gb-ssd-14-hd-n2j5ah,Procesador: Intel Core I5-10210U 1.6 GHz hasta 4.2 GHz Turbo Boost,Memoria Ram: 8GB DDR4,Almacenamiento: 256GBPCIe NVMe M.2 SSD,,,,,,Peso: 1.51 KG,,Color: Silver,
Combo Lenovo V14 IIL Core i3-1005G1 1TB HDD 4GB RAM DDR4 14 + Mochila,"S/ 1679.00
          ",https://www.linio.com.pe/p/combo-lenovo-v14-iil-core-i3-1005g1-1tb-hdd-4gb-ram-ddr4-14-mochila-vd9xdh,,,,,,,,,,,,
Laptop Lenovo V15 IIL Core i5-1035G1 15.6 8GB RAM 1TB HDD Video NVIDIA FreeDOS,"S/ 2819.00
          ",https://www.linio.com.pe/p/laptop-lenovo-v15-iil-core-i5-1035g1-156-8gb-ram-1tb-hdd-video-nvidia-freedos-tqe9ho,,Memoria Expandible hasta 12 GB,,,,,,,,,,
