Laptop_Titulo,Laptop_Precio,Laptop_Url
Laptop Huawei Matebook D14 Intel Core i5 10Gen 8GB RAM 512GB SSD + Regalos,"S/ 2659.00
          ",https://www.linio.com.pe/p/laptop-huawei-matebook-d14-intel-core-i5-10-gen-8gb-ram-512gb-ssd-regalos-jpqnwj
"LAPTOP HP 250 G8 CI7-1065G7, 8GB, 1TB HDD, VID MX330 FREEDOS 15.6"" 2P5M3LT ABM + MOCHILA HP PRELUDE.","S/ 3399.00
          ",https://www.linio.com.pe/p/laptop-hp-250-g8-ci7-1065g7-8gb-1tb-hdd-vid-mx330-freedos-156-2p5m3lt-abm-mochila-hp-prelude-jucg67
"Laptop 15-dw1085la 15.6 Pantalla, Procesador Core i3-10110U, 256GB SSD, RAM 4GB","S/ 1809.00
          ",https://www.linio.com.pe/p/laptop-15-dw1085la-156-pantalla-procesador-core-i3-10110u-256gb-ssd-ram-4gb-ldp7cw
Combo HP Laptop 250 G8 Core i7 1TB HDD 8GB RAM 2GB MX330 15.6 + Mochila + Mouse,"S/ 3349.00
          ",https://www.linio.com.pe/p/combo-hp-laptop-250-g8-core-i7-1tb-hdd-8gb-ram-2gb-mx330-156-mochila-mouse-le9jlh
"LAPTOP HP 240 G7 14"" Intel Core I3-1005G1 Ram 4GB, HDD 1TB FREEDOS","S/ 2599.00
          ",https://www.linio.com.pe/p/laptop-hp-240-g7-14-intel-core-i3-1005g1-ram-4gb-hdd-1tb-freedos-jor4lf
Laptop HP 15-EF1024LA 15.6 AMD Ryzen 5-4500U 8GB RAM 256GB SSD FreeDOS,"S/ 2499.00
          ",https://www.linio.com.pe/p/laptop-hp-15-ef1024la-156-amd-ryzen-5-4500u-8gb-ram-256gb-ssd-freedos-jp1qex
Laptop HP 14-Cf2074la Intel Core I5 10210u RAM 8GB Disco 256GB SSD 14 HD,"S/ 2419.00
          ",https://www.linio.com.pe/p/laptop-hp-14-cf2074la-intel-core-i5-10210u-ram-8gb-disco-256gb-ssd-14-hd-n2j5ah
"Laptop Hp 250 G8 Intel Core I7 1065G7 Ram 8GB Disco 1TB HDD Video 2GB 15.6"" Hd","S/ 3349.00
          ",https://www.linio.com.pe/p/laptop-hp-250-g8-intel-core-i7-1065g7-ram-8gb-disco-1tb-hdd-video-2gb-156-hd-qdlua1
Combo Lenovo V14 IIL Core i3-1005G1 1TB HDD 4GB RAM DDR4 14 + Mochila,"S/ 1679.00
          ",https://www.linio.com.pe/p/combo-lenovo-v14-iil-core-i3-1005g1-1tb-hdd-4gb-ram-ddr4-14-mochila-vd9xdh
Laptop Lenovo V15 IIL Core i5-1035G1 15.6 8GB RAM 1TB HDD Video NVIDIA FreeDOS,"S/ 2819.00
          ",https://www.linio.com.pe/p/laptop-lenovo-v15-iil-core-i5-1035g1-156-8gb-ram-1tb-hdd-video-nvidia-freedos-tqe9ho
Laptop Lenovo 14W AMD A6 9220C RAM 4GB Disco 128GB SSD 14 FHD Windows 10,"S/ 1219.00
          ",https://www.linio.com.pe/p/laptop-lenovo-14w-amd-a6-9220c-ram-4gb-disco-128gb-ssd-14-fhd-windows-10-qfw26u
Laptop Lenovo Ideapad 3I 15.6' Hd	Intel Core I5 12Gb Ram 512Gb Ssd,"S/ 2699.00
          ",https://www.linio.com.pe/p/laptop-lenovo-ideapad-3i-156-hd-intel-core-i5-12gb-ram-512gb-ssd-qdfjip
Laptop Lenovo Ideapad 15.6 HD AMD Ryzen 3 4GB RAM 128GB SSD,"S/ 2049.00
          ",https://www.linio.com.pe/p/laptop-lenovo-ideapad-156-hd-amd-ryzen-3-4gb-ram-128gb-ssd-oq1gt7
