Laptop_Titulo,Laptop_Precio,Laptop_Url,CPU_Modelo,RAM_Capacidad,DiscoDuro_Capacidad,SistemaOperativo,Laptop_Marca,Laptop_TPantalla,Laptop_RPantalla,Laptop_Dimensiones,Laptop_Peso,Laptop_Material,Laptop_Color,Laptop_Bateria
"HP 15.6"" FHD, Ryzen 5-5500U, 8GB RAM, 256GB SSD, SPRUCE BLUE, Windows 11","S/ 2199.00
          ",https://www.linio.com.pe/p/hp-156-fhd-ryzen-5-5500u-8gb-ram-256gb-ssd-spruce-blue-windows-11-ym1mqo,,,,,,,,,,,,
Laptop Lenovo 14W AMD A6 9220C RAM 4GB Disco 128GB SSD 14 FHD Windows 10,"S/ 1219.00
          ",https://www.linio.com.pe/p/laptop-lenovo-14w-amd-a6-9220c-ram-4gb-disco-128gb-ssd-14-fhd-windows-10-qfw26u,"Procesador: AMD A69220C 1.8 GHz Turbo Boost 2.7 GHz, 2 Ncleos",Memoria: 4GB DDR4,,Sistema operativo: Windows 10 Home,,,,,,,Color: Negro,
Laptop Lenovo V15 IIL Core i5-1035G1 15.6 8GB RAM 1TB HDD Video NVIDIA FreeDOS,"S/ 2819.00
          ",https://www.linio.com.pe/p/laptop-lenovo-v15-iil-core-i5-1035g1-156-8gb-ram-1tb-hdd-video-nvidia-freedos-tqe9ho,,Memoria Expandible hasta 12 GB,,,,,,,,,,
Combo Lenovo V14 IIL Core i3-1005G1 1TB HDD 4GB RAM DDR4 14 + Mochila,"S/ 1679.00
          ",https://www.linio.com.pe/p/combo-lenovo-v14-iil-core-i3-1005g1-1tb-hdd-4gb-ram-ddr4-14-mochila-vd9xdh,,,,,,,,,,,,
Laptop Lenovo Ideapad 3I 15.6' Hd	Intel Core I5 12Gb Ram 512Gb Ssd,"S/ 2699.00
          ",https://www.linio.com.pe/p/laptop-lenovo-ideapad-3i-156-hd-intel-core-i5-12gb-ram-512gb-ssd-qdfjip,"Procesador: Intel Core i5,Modelo del procesador: Intel Core i5 1035G4,Generacin del procesador: 10",Memoria RAM: 12GB,,Sistema operativo: Windows 10 Home,,,Resolucin de la pantalla: HD (1366x768),,Peso: 1.85 kg,,,Duracin aproximada de la batera: Hasta 7.3 horas
Laptop Lenovo Ideapad 15.6 HD AMD Ryzen 3 4GB RAM 128GB SSD,"S/ 2049.00
          ",https://www.linio.com.pe/p/laptop-lenovo-ideapad-156-hd-amd-ryzen-3-4gb-ram-128gb-ssd-oq1gt7,Procesador: AMD Ryzen 3 3250U (2 ncleos hasta 3.50 GHz),Memoria RAM: 4 GB (DDR4),Almacenamiento: 128 GB (SSD),Sistema operativo: Windows 10,,,,,"Peso: 1,7 kg",,,Batera: 3 celdas (Litio)
Laptop Lenovo FHD15 pulgadas AMD R5 5500U-8G-512SSD Exc Thinkpad Notebook,"S/ 5350.00
          ",https://www.linio.com.pe/p/laptop-lenovo-fhd15-pulgadas-amd-r5-5500u-8g-512ssd-exc-thinkpad-notebook-ldp3hd,,Tipo de memoria DDR4 8GB,,,,,Resolucin de pantalla 1920 * 1080,,,,,
Laptop Lenovo V14-Iil Intel Core I3 1005g1 RAM 4GB Disco 1TB HDD 14 HD,"S/ 2099.00
          ",https://www.linio.com.pe/p/laptop-lenovo-v14-iil-intel-core-i3-1005g1-ram-4gb-disco-1tb-hdd-14-hd-lezssp,Procesador: Intel Core i31005G1 1.2Ghz Turbo 3.4Ghz,Memoria RAM: 4GB DDR4,Almacenamiento: 1 TB,Sistema Operativo: FREE DOS (SIn Sistema Operativo),,,,,Peso: 1.6 KG,,Color: Negro,
Laptop LHMZNIY Yobook Pro Intel Celeron N4120 8G 256G SSD 3K,"S/ 1979.00
          ",https://www.linio.com.pe/p/laptop-lhmzniy-yobook-pro-intel-celeron-n4120-8g-256g-ssd-3k-ylkp8z,"Procesador Intel Celeron N4120, cuatro ncleos; Hilos cudruples, 1,10 GHz hasta 2,60 GHz.",,,,,,"Resolucin 3K de 13,5 pulgadas, ocupacin de pantalla 3: 2.",,,,,
Notebook LHMZNIY A5 Intel Core i5-11300H 16GB 512GB SSD Windows 11 Preinstalado,"S/ 3569.00
          ",https://www.linio.com.pe/p/notebook-lhmzniy-a5-intel-core-i5-11300h-16gb-512gb-ssd-windows-11-preinstalado-ylfus8,"Super rendimiento: procesador I5 de 11.a generacin,Grficos del procesador: Grficos Intel Iris Xe","16GB RAM + 512GB SSD de memoria grande, para resolver todas las necesidades.",,,,,,,,,,
NOTEBOOK LHMZNIY A8s Pro Intel Celeron J4125 8GB 256GB SSD,"S/ 1709.00
          ",https://www.linio.com.pe/p/notebook-lhmzniy-a8s-pro-intel-celeron-j4125-8gb-256gb-ssd-tp8ny1,"Procesador:Intel Celeron J4125 2.7 GHz, con 4 MB Intel Smart Cache",Memoria RAM: 8GB DDR4,Almacenamiento: Capacidad del disco duro: SSD 256GB,,,,,,,,,
Laptop LHMZNIY A8s Pro Intel Celeron J4125 8GB 256GB SSD,"S/ 1709.00
          ",https://www.linio.com.pe/p/laptop-lhmzniy-a8s-pro-intel-celeron-j4125-8gb-256gb-ssd-vcs0ft,"Procesador:Intel Celeron J4125 2.7 GHz, con 4 MB Intel Smart Cache",Memoria RAM: 8GB DDR4,Almacenamiento: Capacidad del disco duro: SSD 256GB,,,,,,,,,
Laptop LHMZNIY Yobook M Intel Celeron N4020 6GB 128GB SSD,"S/ 1489.00
          ",https://www.linio.com.pe/p/laptop-lhmzniy-yobook-m-intel-celeron-n4020-6gb-128gb-ssd-ryqt9w,,,,,Precio ultrabajo: la calidad de las marcas de primer nivel y el precio de las marcas de tercer nivel,,,,,,,
PAVILION HP 13-BB0002LA I5-1135G7 8GB RAM - 256GB SSD -13.3 HD WIN 10,"S/ 2699.00
          ",https://www.linio.com.pe/p/pavilion-hp-13-bb0002la-i5-1135g7-8gb-ram-256gb-ssd-133-hd-win-10-vctjvh,"Procesador: Intel Core i5,Modelo del procesador: Intel Core i1135G7,Generacin del procesador: 11va generacin,Ncleos del procesador: Qu",Memoria RAM: 8GB,,Sistema operativo: Windows 10,Marca: HP,,Resolucin de la pantalla: Full HD (1920x1080),,,,,Duracin aproximada de la batera: Hasta 8 horas. segn condiciones de uso.
LAPTOP LHMZNIY A8s Pro Intel Celeron J4125 8GB 256GB SSD,"S/ 1709.00
          ",https://www.linio.com.pe/p/laptop-lhmzniy-a8s-pro-intel-celeron-j4125-8gb-256gb-ssd-ryr9ju,"Procesador:Intel Celeron J4125 2.7 GHz, con 4 MB Intel Smart Cache",Memoria RAM: 8GB DDR4,Almacenamiento: Capacidad del disco duro: SSD 128GB,,,,,,,,,
Laptop Dell Inspiron 15 3501 Intel Core i5 1135G7 RAM 8GB  256GB SSD 15.6 HD,"S/ 2599.00
          ",https://www.linio.com.pe/p/laptop-dell-inspiron-15-3501-intel-core-i5-1135g7-ram-8gb-256gb-ssd-156-hd-s11ya9,"Procesador: Intel Core i5-1135G7 2,40GHz hasta 4,20GHz Turbo Boost",Memoria Ram: 8GB DDR4 Exp. 16GB,Almacenamiento: 256 GB SSD NvMe,Sistema Operativo: Ubuntu (No Trae Windows),,,,,,,Color: gris,
Hp 15 N5000 Quadcore ( 8gb + 128 Ssd ) Laptop Intel Win10 - Rojo,"S/ 1725.00
          ",https://www.linio.com.pe/p/hp-15-n5000-quadcore-8gb-128-ssd-laptop-intel-win10-rojo-wzcfz1,"Procesador: Intel Pentium Silver N5000 Quadcore (1.1, 2.7 GHz ) 4 MB",Memoria: 8GB RAM,,Sistema Operativo: Windows 10 US Home,,,,,"Peso: 1,74 kg",,,
"Laptop HP 15,6"" Ryzen 5 Serie 4000 256GB SSD 8GB 15-EF1012LA","S/ 2349.00
          ",https://www.linio.com.pe/p/laptop-hp-15-6-ryzen-5-serie-4000-256gb-ssd-8gb-15-ef1012la-jpm4z5,"Marca de procesador:AMD,Procesador:AMD Ryzen 5 4500U,Velocidad de procesador:6 core 25W (2.375GHz,turbo up to 4.0GHz), 3200MHz/3MB L2",Memoria RAM:8 GB,,Sistema operativo:Windows 10,Marca de procesador:AMD,"Tamao de pantalla:15.6""",Resolucin:1366 x 768,,Peso (kg):1.69 KG,,,Duracin de batera:Hasta 10 horas
Laptops Lenovo Thinkpad T450 i5 2.3GHz 14inch 8GB+500GB HDD WIN10,"S/ 2299.00
          ",https://www.linio.com.pe/p/laptops-lenovo-thinkpad-t450-i5-23ghz-14inch-8gb-500gb-hdd-win10-jsj53k,"Con los procesadores Intel Core  de quinta generacin ms nuevos en un paquete elegante, liviano y duradero",,,,,,,,,,,
